data,banda,tag,value
05/06/15,Biliu de Campina,repente,7
05/06/15,Biliu de Campina,pé-de-serra,10
05/06/15,Jairo Madruga,pé-de-serra,10
05/06/15,Jorge de Altinho,pé-de-serra duplo sentido,7
05/06/15,Jorge de Altinho,pé-de-serra,10
05/06/15,Luan e Forró Estilizado,forronejo,4
05/06/15,Luan e Forró Estilizado,pé-de-serra,4
05/06/15,Luan e Forró Estilizado,forró eletrônico,10
05/06/15,Os Três do Nordeste,pé-de-serra,10
06/06/15,Erika Marques,mpb,10
06/06/15,Flávio José,pé-de-serra,10
06/06/15,Ton Oliveira,pé-de-serra duplo sentido,7
06/06/15,Ton Oliveira,pé-de-serra,10
07/06/15,Banda Palov,forró das antigas,10
07/06/15,Culé de Xá,forró das antigas,10
07/06/15,Culé de Xá,pé-de-serra,10
07/06/15,Felipe Lemos,forronejo,6
07/06/15,Felipe Lemos,forró eletrônico,10
07/06/15,Gabriel Diniz,forronejo,8
07/06/15,Gabriel Diniz,forró eletrônico,10
09/06/15,Eloisa Olinto,mpb,10
09/06/15,Lara Amélia,forró eletrônico,10
09/06/15,Sandra Belê,pé-de-serra,10
10/06/15,Forrozão Karkará,forró eletrônico,10
10/06/15,Galã do Brega,forronejo,8
10/06/15,Galã do Brega,forró eletrônico,10
10/06/15,Ramon Schnayder,forronejo,8
10/06/15,Ramon Schnayder,forró eletrônico,10
11/06/15,Assisão,pé-de-serra,10
11/06/15,Cavaleiros do Forró,forró das antigas,7
11/06/15,Cavaleiros do Forró,forró eletrônico,10
11/06/15,Jurandir da Feira,pé-de-serra,10
11/06/15,Vinícius e Sobral,sertanejo,10
12/06/15,Alexandre Tan,mpb,10
12/06/15,Geovane Júnior,pé-de-serra,10
12/06/15,Os Nonatos,sertanejo raiz,7
12/06/15,Os Nonatos,romântico,7
13/06/15,Capilé,pé-de-serra,5
13/06/15,Capilé,forró eletrônico,5
13/06/15,Coronel Grilo,pé-de-serra,10
13/06/15,Forró Bakana,forró eletrônico,10
13/06/15,João Marcelo e Juliano,sertanejo,10
13/06/15,Os 3 do nordeste,pé-de-serra,10
14/06/15,Diogo Cirne,forró eletrônico,10
14/06/15,Dorgival Dantas,romântico,10
14/06/15,Edgley Miguel,pé-de-serra,10
16/06/15,Coco Seco,forró eletrônico,10
16/06/15,Forró Instigação,forró eletrônico,10
16/06/15,Impacto X,forró das antigas,7
16/06/15,Impacto X,forró eletrônico,7
17/06/15,Afrodite,romântico,7
17/06/15,Afrodite,forró das antigas,10
17/06/15,Aviões do Forró,forronejo,5
17/06/15,Aviões do Forró,forró eletrônico,10
17/06/15,Fabiano Guimarães,pé-de-serra,10
17/06/15,Forró da Galera,forró eletrônico,10
18/06/15,Bonde do Brasil,arrocha,8
18/06/15,Bonde do Brasil,sofrência,10
18/06/15,Cicinho Lima,forró eletrônico,10
18/06/15,Raniere Gomes,pé-de-serra,7
19/06/15,Amazan,pé-de-serra duplo sentido,7
19/06/15,Amazan,pé-de-serra,10
19/06/15,Iohannes e Forró do Imperador,forronejo,6
19/06/15,Iohannes e Forró do Imperador,forró eletrônico,10
19/06/15,Nando Cordel,pé-de-serra,10
19/06/15,Poeta Francinaldo,pé-de-serra,10
20/06/15,Forró do Chefe,forró eletrônico,10
20/06/15,Genival Lacerda,pé-de-serra,10
20/06/15,Os Gonzagas,pé-de-serra,10
20/06/15,Pinto do Acordeon,pé-de-serra,10
